2,1
2,2
2,3
2,4
2,5
2,20
2,102
2,105
2,109
2,137
2,138
2,163
2,164
2,255
2,285
2,286
3,1
3,2
3,3
3,4
3,5
3,6
3,18
3,26
3,27
3,73
3,74
3,83
3,85
3,120
3,190
3,191
3,192
3,193
3,194
4,32
4,54
4,87
6,1
6,2
6,3
6,13
6,17
6,18
6,61
6,62
6,102
6,103
7,54
7,56
7,89
7,117
7,180
7,200
7,201
9,14
9,40
9,128
9,129
10,1
10,2
10,3
10,9
10,10
10,57
10,62
10,63
10,79
10,80
10,81
10,82
10,103
10,107
11,120
12,64
12,67
12,86
11,28
14,27
15,6
15,14
15,18
15,85
15,86
16,1
16,2
16,3
16,68
16,69
16,102
16,127
17,45
17,46
17,47
17,48
17,56
17,63
17,64
17,65
17,80
17,81
17,82
17,105
17,110
17,111
18,1
18,2
18,3
18,4
18,5
18,6
18,7
18,8
18,9
18,10
18,11
18,12
18,39
18,99
18,100
18,101
18,102
18,103
18,104
18,105
18,106
18,107
18,108
18,109
18,110
19,64
19,65
19,81
19,82
19,83
19,84
19,85
19,86
19,87
19,88
19,89
19,90
19,91
19,92
19,93
19,94
19,95
19,96
19,97
19,98
20,1
20,2
20,3
20,4
20,5
20,6
20,7
20,8
21,18
21,76
21,83
21,84
21,87
21,88
21,112
23,97
23,98
23,115
23,116
23,117
23,118
24,35
25,23
25,32
25,58
26,43
26,44
26,45
26,46
26,47
26,48
26,80
27,26
27,30
27,62
27,70
27,77
27,79
30,17
30,18
30,19
30,26
30,27
31,16
31,34
33,71
34,48
34,49
35,2
35,34
36,1
36,2
36,3
36,4
36,5
36,6
36,7
36,8
36,9
36,81
36,82
36,83
37,1
37,2
37,3
37,4
37,5
37,6
37,7
37,8
37,9
37,10
37,75
37,76
37,97
37,98
37,114
37,115
37,116
37,143
37,144
37,180
37,181
37,182
39,22
39,23
39,36
39,37
39,38
39,46
39,61
39,67
39,69
39,70
39,75
40,1
40,2
40,3
40,14
40,44
40,65
41,30
41,31
41,32
41,44
44,1
44,2
44,3
44,4
44,5
44,6
44,7
44,8
45,36
45,37
46,13
46,31
46,32
47,1
47,2
47,19
48,29
51,56
51,57
51,58
55,1
55,2
55,3
55,4
55,5
55,6
55,7
55,8
55,9
59,21
59,22
59,23
59,24
64,13
68,51
68,52
94,1
94,2
94,3
94,4
94,5
94,6
94,7
94,8
109,1
109,2
109,3
109,4
109,5
109,6
112,1
112,2
112,3
112,4
113,1
113,2
113,3
113,4
113,5
114,1
114,2
114,3
114,4
114,5
114,6
